TPCC-48 
sysname,2PL,TO,OCC,MV2PL,MVTO,MVOCC
Falcon(DRAM Index),912773.0,913421.0,948361.0,904894.5,909032.0,947935.0
Falcon,752616.5,762873.0,792650.5,746495.0,762692.5,787576.0
Falcon(All Flush),726749.0,746270.5,763755.0,717558.0,745265.0,762570.0
Falcon(No Flush),732716.5,743100.0,771496.5,712262.0,744372.0,769695.5
Inp,652449.0,668844.0,688710.5,649190.0,667598.0,686726.5
Outp,440793.0,451087.0,457093.0,437628.0,453835.0,451083.5
ZenS(No Flush),569624.5,571765.0,594031.5,532626.0,534778.0,552467.5
ZenS,621993.5,629734.5,647022.5,564534.5,571513.5,584796.5

TPCC-48 Latency
sysname,new_order-avg,new_order-95,payment-avg,payment-95
Falcon(DRAM Index),62429.205,79550,5722.948,7949
Falcon,68165.505,95032,9485.598,12418
Falcon(All Flush),70742.247,101445,10328.804,14734
Falcon(No Flush),69174.483,96358,9882.929,11964
Inp,79166.910,129128,12176.834,19504
Outp,122155.813,322736,25832.651,40876
ZenS(No Flush),96892.622,175485,11472.902,20155
ZenS,88331.588,163713,10383.198,20521

YCSB-48 
sysname,au,az,bu,bz,cu,cz,du,dz,eu,ez,fu,fz
Falcon(DRAM Index),10323712,14024756,14684435,18067180,15218042,18713388,14832039,18133897,8662200,11707167,9774723,12873883
Falcon,8985114,13187303,13102716,18043576,13807442,18613602,13239175,17758799,6560072,10575200,8597534,12573252
Falcon(All Flush),9042512,7265938,13091826,17761916,13562737,18232637,13270368,17826615,6662116,10776840,8567972,7255163
Falcon(No Flush),6270740,11073828,12491505,17720492,13654271,18271041,13237006,17683371,6692311,10785485,6052016,11033863
Inp,4439662,4011395,11957134,16252275,13750592,18652516,13062128,17484430,6704489,10765566,4386273,4139146
Outp,5379865,6212693,12160048,16372535,13656736,18627328,13221255,17761727,6673622,10805090,5358600,6030885
ZenS(No Flush),4796845,5039331,11324595,16739826,12343998,18607771,12298966,18131844,6928765,9320352,4777671,3815901
ZenS,6691991,6317649,11516907,16847104,12262965,18418847,12353021,18306179,6846484,9199096,6250681,3720956

TPCC-scal 
threads,Inp,Falcon(All Flush),Inp(No Flush),Inp(Hot Tuple Cache),Falcon
1,37624,38383,37653,37418,38339
2,67565,68241,68237,65669,69267
4,119649,122912,122606,120942,123308
8,215743,224022,221476,218471,224502
16,386993,409095,386872,392970,411776
32,557653,610246,540738,563177,614972
48,693562,762293,672384,717874,791208

YCSB Zipf=0-scal 
threads,Inp,Falcon(All Flush),Inp(No Flush),Inp(Hot Tuple Cache),Falcon
1,503440,531472,510846,502149,296755
2,956594,993386,919995,936974,
4,1770053,1947806,1574868,1681305,
8,2924581,3626863,2409950,2788256,
16,4224846,6291195,2843479,4055433,
32,4587497,8940827,2799048,4335091,8318962
48,4620482,8987643,2778129,4338754,8787880

YCSB Zipf=0.99-scal 
threads,Inp,Falcon(All Flush),Inp(No Flush),Inp(Hot Tuple Cache),Falcon
1,679678,800136,708855,735472,309643
2,1197049,1466290,1236163,1290802,1192457
4,2004261,2602691,1990730,2131611,
8,3131715,4485219,3045876,3349205,
16,3958096,6498675,3842425,4832564,
32,4106378,7038020,3944087,5772645,11378003
48,3997805,6749133,3867904,6014910,13073170

